director_name,actor_1_name,actor_2_name,movie_title,budget,imdb_score
Tom Tykwer,Devid Striesow,Sebastian Schipper,3,,6.8
Shane Acker,Martin Landau,Alan Oppenheimer,9,30000000,7.1
Robert Luketic,Kevin Spacey,Jim Sturgess,21,35000000,6.8
Brian Helgeland,Harrison Ford,Christopher Meloni,42,40000000,7.5
Mark Christopher,Salma Hayek,Ellen Albertini Dow,54,13000000,5.8
Zack Snyder,Gerard Butler,Michael Fassbender,300,65000000,7.7
Mikael Håfström,Drew Powell,Kim Thomson,1408,25000000,6.8
Peter H. Hunt,Blythe Danner,Ken Howard,1776,4000000,7.6
Li Zhang,Bingbing Li,Joan Chen,1911,18000000,6
Steven Spielberg,Christopher Lee,John Belushi,1941,35000000,5.9
Tommy Oliver,Bokeem Woodbine,Ruby Dee,1982,1000000,7.1
Roland Emmerich,Oliver Platt,Liam James,2012,200000000,5.8
Kar-Wai Wong,Li Gong,Tony Chiu Wai Leung,2046,12000000,7.5
Jaume Balagueró,Manuela Velasco,Pablo Rosso,[Rec] ,1500000,7.5
Jaume Balagueró,Jonathan D. Mellor,Pablo Rosso,[Rec] 2,5600000,6.6
Tara Subkoff,Timothy Hutton,Balthazar Getty,#Horror ,1500000,3.3
Dan Trachtenberg,Bradley Cooper,John Gallagher Jr.,10 Cloverfield Lane,15000000,7.3
Timothy Hines,Christopher Lambert,Kelly LeBrock,10 Days in a Madhouse,12000000,7.5
Gil Junger,Joseph Gordon-Levitt,Heath Ledger,10 Things I Hate About You,16000000,7.2
Christopher Barnard,Mathew Buck,,"10,000 B.C.",,7.2
Kevin Lima,Ioan Gruffudd,Eric Idle,102 Dalmatians,85000000,4.8
Robert Moresco,Brian Dennehy,Brad Renfro,10th & Wolf,8000000,6.4
Greg Marcks,Henry Thomas,Barbara Hershey,11:14,6000000,7.2
Sidney Lumet,Jack Warden,Lee J. Cobb,12 Angry Men,350000,8.9
,Amanda Schull,Kirk Acevedo,12 Monkeys,,7.6
Renny Harlin,Taylor Cole,Ashley Scott,12 Rounds,22000000,5.6
Steve McQueen,Quvenzhané Wallis,Scoot McNairy,12 Years a Slave,20000000,8.1
Danny Boyle,James Franco,Treat Williams,127 Hours,18000000,7.6
Gary Winick,Jennifer Garner,Judy Greer,13 Going on 30,37000000,6.1
Michael Bay,Toby Stephens,James Badge Dale,13 Hours,50000000,7.4
John Herzfeld,Robert De Niro,Charlize Theron,15 Minutes,42000000,6.1
Richard Donner,Bruce Willis,David Zayas,16 Blocks,52000000,6.6
Becky Smith,Will Rothhaar,Emily Baldoni,16 to Life,1000000,6.3
Burr Steers,Matthew Perry,Hunter Parrish,17 Again,20000000,6.4
John Singleton,Paul Walker,Cole Hauser,2 Fast 2 Furious,76000000,5.9
Baltasar Kormákur,Denzel Washington,Patrick Fischler,2 Guns,61000000,6.7
Charles Adelman,Teri Polo,Kevin Pollak,2:13,3500000,4.8
Myles Berkowitz,Tia Carrere,Tom Ardavany,20 Dates,60000,5.3
Morgan Neville,Sheryl Crow,Lou Adler,20 Feet from Stardom,1000000,7.4
Richard Fleischer,James Mason,Robert J. Wilke,"20,000 Leagues Under the Sea",5000000,7.2
Richard Fleischer,James Mason,Robert J. Wilke,"20,000 Leagues Under the Sea",5000000,7.2
Risa Bramon Garcia,Janeane Garofalo,Dave Chappelle,200 Cigarettes,6000000,5.9
Stanley Kubrick,Keir Dullea,Gary Lockwood,2001: A Space Odyssey,12000000,8.3
Dinesh D'Souza,Barack Obama,Zackary Steven Graham,2016: Obama's America,2500000,5.1
Jon Lucas,Justin Chon,Josie Loren,21 & Over,13000000,5.9
